# year,dir,winners_rank,path,created_by,prog,filetype,winners_show,display_via,winners_text,ext
1986,applin,300,1986_applin.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,august,null,README.md,null,null,markdown,false,null,null,md
1986,august,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,august,null,.winner.json,jwinner,null,json,false,null,null,json
1986,august,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,august,20,august.c,null,main,c,true,github,winning source,c
1986,august,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,august,50,august.orig.c,null,orig,c,true,github,original source,c
1986,august,300,1986_august.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,bright,null,README.md,null,null,markdown,false,null,null,md
1986,bright,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,bright,null,.winner.json,jwinner,null,json,false,null,null,json
1986,bright,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,bright,20,bright.c,null,main,c,true,github,winning source,c
1986,bright,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,bright,50,bright.orig.c,null,orig,c,true,github,original source,c
1986,bright,300,1986_bright.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,hague,null,README.md,null,null,markdown,false,null,null,md
1986,hague,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,hague,null,.winner.json,jwinner,null,json,false,null,null,json
1986,hague,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,hague,20,hague.c,null,main,c,true,github,winning source,c
1986,hague,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,hague,50,hague.orig.c,null,orig,c,true,github,original source,c
1986,hague,300,1986_hague.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,holloway,null,README.md,null,null,markdown,false,null,null,md
1986,holloway,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,holloway,null,.winner.json,jwinner,null,json,false,null,null,json
1986,holloway,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,holloway,20,holloway.c,null,main,c,true,github,winning source,c
1986,holloway,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,holloway,50,holloway.orig.c,null,orig,c,true,github,original source,c
1986,holloway,300,1986_holloway.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,marshall,null,README.md,null,null,markdown,false,null,null,md
1986,marshall,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,marshall,null,.winner.json,jwinner,null,json,false,null,null,json
1986,marshall,10,index.html,readme2index,null,html,true,browser,click here first,html
1986,marshall,20,marshall.c,null,main,c,true,github,winning source,c
1986,marshall,30,Makefile,null,null,makefile,true,github,how to compile,null
1986,marshall,40,marshall.alt.c,null,alt,c,true,github,alternative source,c
1986,marshall,50,marshall.orig.c,null,orig,c,true,github,original source,c
1986,marshall,300,1986_marshall.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1986,pawka,null,README.md,null,null,markdown,false,null,null,md
1986,pawka,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1986,pawka,null,.winner.json,jwinner,null,json,false,null,null,json
