# author_handle,winner_id,winner_id,winner_id,…,,,,,,,,,,,,,,,
Esko_Nuutila,1989_jar.2,,,,,,,,,,,,,,,,,,
Etienne_Duble,2015_duble,2019_duble,,,,,,,,,,,,,,,,,
Fabrice_Bellard,2000_bellard,2001_bellard,2018_bellard,,,,,,,,,,,,,,,,
Ferenc_Deak,2014_deak,,,,,,,,,,,,,,,,,,
Francois_Boutines,2005_boutines,,,,,,,,,,,,,,,,,,
Frans_van_Dorsselaer,1998_dorssel,,,,,,,,,,,,,,,,,,
Freek_Wiedijk,2014_wiedijk,,,,,,,,,,,,,,,,,,
Garry_Glendown,1995_garry,,,,,,,,,,,,,,,,,,
Gavin_Barraclough,2004_gavin,,,,,,,,,,,,,,,,,,
Gavin_Buttimore,2000_thadgavin,,,,,,,,,,,,,,,,,,
Gil_Dogon,2005_giljade,2015_dogon,2019_dogon,,,,,,,,,,,,,,,,
Glyn_Anderson,2000_anderson,,,,,,,,,,,,,,,,,,
Gopi_Reddy,1988_reddy,,,,,,,,,,,,,,,,,,
Gregor_Richards,2011_richards,,,,,,,,,,,,,,,,,,
Heather_Downs,1995_heathbar,1995_makarios,,,,,,,,,,,,,,,,,
Ian_Collier,1992_imc,1994_imc,,,,,,,,,,,,,,,,,
Ian_Phillipps,1988_phillipps,,,,,,,,,,,,,,,,,,
Ilya_Kurdyukov,2020_kurdyukov1,2020_kurdyukov2,2020_kurdyukov3,2020_kurdyukov4,,,,,,,,,,,,,,,
Immanuel_Herrmann,2001_herrmann1,2001_herrmann2,,,,,,,,,,,,,,,,,
J_David_Lowe,1998_dlowe,1998_dloweneil,2000_dlowe,2011_dlowe,2012_dlowe,2013_dlowe,,,,,,,,,,,,,
Jack_Applin,1985_applin,1986_applin,1988_applin,,,,,,,,,,,,,,,,
James_A_Woods,1990_jaw,,,,,,,,,,,,,,,,,,
James_Bonfield,1991_rince,1993_rince,2000_rince,,,,,,,,,,,,,,,,
Jan_Stein,1986_stein,,,,,,,,,,,,,,,,,,
Jari_Arkko,1989_jar1,1989_jar.2,2000_jarijyrki,,,,,,,,,,,,,,,,
Jason_Orendorff,2001_jason,,,,,,,,,,,,,,,,,,
Jay_Vosburgh,1989_fubar,,,,,,,,,,,,,,,,,,
Jeff_Newbern,2004_newbern,,,,,,,,,,,,,,,,,,
Jeff_Weisberg,1994_weisberg,,,,,,,,,,,,,,,,,,
Jens_Schweikhardt,1996_schweikh1,1996_schweikh2,1996_schweikh3,1998_schweikh1,1998_schweikh2,1998_schweikh3,2001_schweikh,2015_schweikhardt,,,,,,,,,,,
Jetro_Lauha,2005_jetro,,,,,,,,,,,,,,,,,,
Jim_Hague,1986_hague,,,,,,,,,,,,,,,,,,
John_Dalbec,1996_dalbec,2004_jdalbec,,,,,,,,,,,,,,,,,
John_Tromp,1989_tromp,2012_tromp,,,,,,,,,,,,,,,,,
John_Williams,2001_williams,,,,,,,,,,,,,,,,,,
Jon_Thingvold,1993_jonth,1996_jonth,,,,,,,,,,,,,,,,,
Jonathan_Hoyle,2004_hoyle,,,,,,,,,,,,,,,,,,
Joshua_Karns,2019_karns,,,,,,,,,,,,,,,,,,
Jyrki_Holopainen,1993_lmfjyh,2000_jarijyrki,,,,,,,,,,,,,,,,,
Karl_F_Fox,1990_jaw,,,,,,,,,,,,,,,,,,
Ken_Huffman,1996_huffman,,,,,,,,,,,,,,,,,,
Kevin_Pulo,2001_kev,,,,,,,,,,,,,,,,,,
Kimmo_Fredriksson,2011_fredriksson,,,,,,,,,,,,,,,,,,
Larry_Jones,1990_scjones,,,,,,,,,,,,,,,,,,
Larry_Wall,1986_wall,1987_wall,,,,,,,,,,,,,,,,,
Laurion_Burchall,1994_ldb,,,,,,,,,,,,,,,,,,
Lennart_Augustsson,1985_august,1986_august,1996_august,,,,,,,,,,,,,,,,
Leonid_A_Broukhis,1993_leo,1995_leo,,,,,,,,,,,,,,,,,
Lord_Zarbon,2000_briddlebane,,,,,,,,,,,,,,,,,,
Maarten_Litmaath,1988_litmaath,,,,,,,,,,,,,,,,,,
Marcin_Ciura,2018_ciura,2019_ciura,,,,,,,,,,,,,,,,,
Mark_Biggar,1987_biggar,,,,,,,,,,,,,,,,,,
Mark_Isaak,1988_isaak,,,,,,,,,,,,,,,,,,
Mark_Plummer,1993_plummer,,,,,,,,,,,,,,,,,,
Mark_Schnitzius,1993_schnitzi,1994_schnitzi,1995_schnitzi,1995_vanschnitz,1998_schnitzi,2004_schnitzi,,,,,,,,,,,,,
Mary_Ann_Horton,1994_horton,,,,,,,,,,,,,,,,,,
Matt_Zucker,2011_zucker,,,,,,,,,,,,,,,,,,
Maurizio_Monge,2006_monge,,,,,,,,,,,,,,,,,,
Mauro_Persano,2005_persano,,,,,,,,,,,,,,,,,,
Michael_Ash,2005_mikeash,,,,,,,,,,,,,,,,,,
Michael_Birken,2006_birken,2013_birken,2014_birken,,,,,,,,,,,,,,,,
Michael_H_Pawka,1986_pawka,,,,,,,,,,,,,,,,,,
Michael_Savastio,1995_savastio,,,,,,,,,,,,,,,,,,
Mike_Laman,1984_laman,,,,,,,,,,,,,,,,,,
Moxen_N_Briddlebane,2000_briddlebane,,,,,,,,,,,,,,,,,,
Nathan_Otterness,2020_otterness,,,,,,,,,,,,,,,,,,
Nathan_Sidwell,1992_nathan,,,,,,,,,,,,,,,,,,
NATORI_Shin,2000_natori,,,,,,,,,,,,,,,,,,
Neil_Mix,1998_dloweneil,,,,,,,,,,,,,,,,,,
Nicholas_Carlini,2020_carlini,,,,,,,,,,,,,,,,,,
Nick_Johnson,2004_arachnid,,,,,,,,,,,,,,,,,,
Nicolas_Ollinger,2001_ollinger,,,,,,,,,,,,,,,,,,
Ondrej_Adamovsky,2019_adamovsky,,,,,,,,,,,,,,,,,,
Ora_Lassila,1989_jar.2,,,,,,,,,,,,,,,,,,
Oscar_Toledo,2005_toledo,2006_toledo1,2006_toledo2,2006_toledo3,2011_toledo,,,,,,,,,,,,,,
Oskar_von_der_Luehe,1989_ovdluhe,,,,,,,,,,,,,,,,,,
Paul_Dale,1988_dale,,,,,,,,,,,,,,,,,,
Paul_E_Black,1989_paul,,,,,,,,,,,,,,,,,,
Paul_Eggert,1990_jaw,,,,,,,,,,,,,,,,,,
Paul_Heckbert,1987_heckbert,,,,,,,,,,,,,,,,,,
Peter_Eastman,2011_eastman,,,,,,,,,,,,,,,,,,
Peter_J_Ruczynski,1990_pjr,,,,,,,,,,,,,,,,,,
Peter_Klausler,2005_klausler,,,,,,,,,,,,,,,,,,
Philip_Blakely,2011_blakely,2012_blakely,,,,,,,,,,,,,,,,,
Pierre-Philippe_Coupard,2001_coupard,,,,,,,,,,,,,,,,,,
Qiming_HOU,2011_hou,2012_hou,2013_hou,2015_hou,2018_hou,,,,,,,,,,,,,,
Raphael_Meyer,2006_meyer,,,,,,,,,,,,,,,,,,
Raymond_Cheong,2000_primenum,2001_cheong,,,,,,,,,,,,,,,,,
Robbert_van_Renesse,1984_mullender,,,,,,,,,,,,,,,,,,
Robert_Heckendorn,1985_applin,,,,,,,,,,,,,,,,,,
Roemer_B_Lievaart,1987_lievaart,1989_roemer,,,,,,,,,,,,,,,,,
Ron_McFarland,1996_rcm,,,,,,,,,,,,,,,,,,
Sandro_Maffiodo,2014_maffiodo1,2014_maffiodo2,,,,,,,,,,,,,,,,,
Scott_Vokes,2018_vokes,,,,,,,,,,,,,,,,,,
Sean_Barrett,1991_buzzard,1992_buzzard.1,1992_buzzard.2,,,,,,,,,,,,,,,,
Sean_Dorward,1990_tbr,,,,,,,,,,,,,,,,,,
