# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1986,applin,applin.orig.c,50,false,c,true,original source
1986,applin,1986_applin.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,applin,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,applin,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,applin,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,applin,.path,4000000000,false,path,true,directory path from top directory
1986,applin,index.html,4294967295,false,html,false,this web page
1986,august,august.c,20,true,c,true,entry source
1986,august,Makefile,30,true,makefile,true,entry Makefile
1986,august,august.orig.c,50,false,c,true,original source
1986,august,1986_august.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,august,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,august,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,august,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,august,.path,4000000000,false,path,true,directory path from top directory
1986,august,index.html,4294967295,false,html,false,this web page
1986,bright,bright.c,20,true,c,true,entry source
1986,bright,Makefile,30,true,makefile,true,entry Makefile
1986,bright,bright.orig.c,50,false,c,true,original source
1986,bright,try.sh,100,true,shellscript,true,script to try entry
1986,bright,1986_bright.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,bright,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,bright,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,bright,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,bright,.path,4000000000,false,path,true,directory path from top directory
1986,bright,index.html,4294967295,false,html,false,this web page
1986,hague,hague.c,20,true,c,true,entry source
1986,hague,Makefile,30,true,makefile,true,entry Makefile
1986,hague,hague.orig.c,50,false,c,true,original source
1986,hague,input.txt,100,true,text,false,sample input
1986,hague,try.sh,100,true,shellscript,true,script to try entry
1986,hague,1986_hague.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,hague,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,hague,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,hague,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,hague,.path,4000000000,false,path,true,directory path from top directory
1986,hague,index.html,4294967295,false,html,false,this web page
1986,holloway,holloway.c,20,true,c,true,entry source
1986,holloway,Makefile,30,true,makefile,true,entry Makefile
1986,holloway,holloway.orig.c,50,false,c,true,original source
1986,holloway,1986_holloway.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,holloway,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,holloway,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,holloway,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,holloway,.path,4000000000,false,path,true,directory path from top directory
1986,holloway,index.html,4294967295,false,html,false,this web page
1986,marshall,marshall.c,20,true,c,true,entry source
1986,marshall,Makefile,30,true,makefile,true,entry Makefile
1986,marshall,marshall.alt.c,40,true,c,true,alternate code
1986,marshall,marshall.orig.c,50,false,c,true,original source
1986,marshall,compilers.html,100,false,html,false,about compilers and optimizers that broke this entry
1986,marshall,1986_marshall.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,marshall,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,marshall,compilers.md,4000000000,true,markdown,true,markdown source for compilers.html
1986,marshall,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,marshall,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,marshall,.path,4000000000,false,path,true,directory path from top directory
1986,marshall,index.html,4294967295,false,html,false,this web page
1986,pawka,pawka.c,20,true,c,true,entry source
1986,pawka,Makefile,30,true,makefile,true,entry Makefile
1986,pawka,pawka.orig.c,50,false,c,true,original source
1986,pawka,1986_pawka.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,pawka,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,pawka,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,pawka,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,pawka,.path,4000000000,false,path,true,directory path from top directory
1986,pawka,index.html,4294967295,false,html,false,this web page
1986,stein,stein.c,20,true,c,true,entry source
1986,stein,Makefile,30,true,makefile,true,entry Makefile
1986,stein,stein.orig.c,50,true,c,true,original source
1986,stein,stein.sh,100,true,shellscript,true,demonstrate this IOCCC entry
1986,stein,1986_stein.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,stein,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,stein,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,stein,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,stein,.path,4000000000,false,path,true,directory path from top directory
1986,stein,index.html,4294967295,false,html,false,this web page
1986,wall,wall.c,20,true,c,true,entry source
1986,wall,Makefile,30,true,makefile,true,entry Makefile
1986,wall,wall.orig.c,50,true,c,true,original source
1986,wall,1986_wall.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1986,wall,README.md,4000000000,true,markdown,true,markdown source for this web page
1986,wall,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1986,wall,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1986,wall,.path,4000000000,false,path,true,directory path from top directory
1986,wall,index.html,4294967295,false,html,false,this web page
1987,biggar,biggar.c,20,true,c,true,entry source
1987,biggar,Makefile,30,true,makefile,true,entry Makefile
1987,biggar,biggar.orig.c,50,false,c,true,original source
1987,biggar,try.sh,100,true,shellscript,true,script to try entry
1987,biggar,1987_biggar.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,biggar,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,biggar,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,biggar,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,biggar,.path,4000000000,false,path,true,directory path from top directory
1987,biggar,index.html,4294967295,false,html,false,this web page
1987,heckbert,heckbert.c,20,true,c,true,entry source
1987,heckbert,Makefile,30,true,makefile,true,entry Makefile
1987,heckbert,heckbert.orig.c,50,false,c,true,original source
1987,heckbert,try.sh,100,true,shellscript,true,script to try entry
