# -1,All other cells (excluding year+winners_rank+winners_show) are JSON strings that must not contain commas NOR quotes NOR newlines.,,,,,,,,,
# -2,The year cells must be JSON numbers.  The winners_rank cells must be a JSON number or JSON null.  The winners_show cells must be JSON booleans.,,,,,,,,,
# -3,Empty cells are filled in with red and need to be filled in and are TBD.,,,,,,,,,
# -4,Any cell containing null is a JSON null value. Any cell containing true or false is a JSON boolean value.,,,,,,,,,
# year,dir,winners_rank,path,created_by,prog,filetype,ext,winners_show,display_via,winners_text
1988,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,applin,300,1988_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,dale,null,.winner.json,jwinner,null,json,json,false,null,null
1988,dale,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,dale,300,1988_dale.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,isaak,null,.winner.json,jwinner,null,json,json,false,null,null
1988,isaak,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,isaak,300,1988_isaak.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,litmaath,null,.winner.json,jwinner,null,json,json,false,null,null
1988,litmaath,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,litmaath,300,1988_litmaath.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,phillipps,null,.winner.json,jwinner,null,json,json,false,null,null
1988,phillipps,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,phillipps,300,1988_phillipps.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,reddy,null,.winner.json,jwinner,null,json,json,false,null,null
1988,reddy,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,reddy,300,1988_reddy.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,robison,null,.winner.json,jwinner,null,json,json,false,null,null
1988,robison,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,robison,300,1988_robison.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,spinellis,null,.winner.json,jwinner,null,json,json,false,null,null
1988,spinellis,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,spinellis,300,1988_spinellis.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1988,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1988,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1988,westley,300,1988_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,fubar,null,.winner.json,jwinner,null,json,json,false,null,null
1989,fubar,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,fubar,300,1989_fubar.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,jar.1,null,.winner.json,jwinner,null,json,json,false,null,null
1989,jar.1,10,index.html,readme2index,null,html,html,true,browser,click here first
1989,jar.1,300,1989_jar.1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1989,jar.2,null,.winner.json,jwinner,null,json,json,false,null,null
1989,jar.2,10,index.html,readme2index,null,html,html,true,browser,click here first
