# year,dir,title,abstract
1995,spinellis,spinellis.1995,Abusing the rules
1995,vanschnitz,vanschnitz.1995,Towers of Hanoi via the C pre-processor
1996,august,august.1996,Subset of C compiler and byte code interpreter
1996,dalbec,dalbec.1996,Generator of strong probable-primes to a given base
1996,eldby,eldby.1996,Flying 3D spheres in an ASCII display
1996,gandalf,gandalf.1996,Displays the ASCII and 8 bit character tables
1996,huffman,huffman.1996,Braille to ASCII and vice versa
1996,jonth,jonth.1996,X based dual player tic-tac-toe game
1996,rcm,rcm.1996,Gunzip equivalent
1996,schweikh1,schweikh1.1996,Calculates Easter dates from 1582 to 2199 AD
1996,schweikh2,schweikh2.1996,Search for a limited class of expressions that equal a constant
1996,schweikh3,schweikh3.1996,Determins the memory allocation honesty of the OS
1996,westley,westley.1996,Shows the time on clock with a configurable face and style
1998,banks,banks.1998,A flight simulator!
1998,bas1,bas1.1998,Outputs a gziped 3D beam maze in Postscript
1998,bas2,bas2.1998,determines the size of stdin under IOCCC sizing rules
1998,chaos,chaos.1998,Rotates and zooms an object using ASCII graphics
1998,df,df.1998,A word guessing game
1998,dlowe,dlowe.1998,Pootifies stdin (useful to view Microsoft html files)
1998,dloweneil,dloweneil.1998,A very addictive ASCII poot game
1998,dorssel,dorssel.1998,ASCII / Morse code translator
1998,fanf,fanf.1998,Translates Lambda expressions into combinator expressions
1998,schnitzi,schnitzi.1998,Prints a C program that sorts arguments using strange functions
1998,schweikh1,schweikh1.1998,Tests to see if your compiler and headers are standard
1998,schweikh2,schweikh2.1998,Prints random 0's and 1's; causes some gcc's as passes to choke
1998,schweikh3,schweikh3.1998,Finds duplicate files that waste disk space
1998,tomtorfs,tomtorfs.1998,CRC generator
2000,anderson,anderson.2000,ASCII to semaphore code convertor
2000,bellard,bellard.2000,Prints M6972593 (2^6972593-1) by Modular Fast Fourier Transform
2000,bmeyer,bmeyer.2000,An image compressor
2000,briddlebane,briddlebane.2000,Verbally abuses the user
2000,dhyang,dhyang.2000,Saitou Hajime image that prints a prog that prints a prog ...
2000,dlowe,dlowe.2000,A dc-style calculator that uses embedded Perl
2000,jarijyrki,jarijyrki.2000,An X-based spreadsheet program with graphing features!
2000,natori,natori.2000,Phase of the moon
2000,primenum,primenum.2000,Source with English words that looks like a prime tester
2000,rince,rince.2000,Plots the positions of the four Galilean moons of Jupiter
2000,robison,robison.2000,Highly Compressed Program for Playing Hygienic Checkers
2000,schneiderwent,schneiderwent.2000,Prints the aproximate time in words
2000,thadgavin,thadgavin.2000,Prints a dazzeling moving image under multiple interfaces
2000,tomx,tomx.2000,C source and shell program and Makefile
2001,anonymous,anonymous.2001,optimizing dynamic x86 binary translator on any host
2001,bellard,bellard.2001,A C subset programming system for x86
2001,cheong,cheong.2001,Computes arbitrary-precision square root
2001,coupard,coupard.2001,Outputs current time as a sound file
2001,ctk,ctk.2001,A driver game
2001,dgbeards,dgbeards.2001,Plays suicide chess
2001,herrmann1,herrmann1.2001,A Turing machine using preprocessor
2001,herrmann2,herrmann2.2001,SIRDS/3D generator where the source is SIRDS/3D itself
2001,jason,jason.2001,An Adventure-like game
2001,kev,kev.2001,A Pong game across network
2001,ollinger,ollinger.2001,Prints primes with a sieve graph
2001,rosten,rosten.2001,Makes X mouse pointer have inertia or anti-inertia
2001,schweikh,schweikh.2001,Shell glob matcher
2001,westley,westley.2001,Sorts/scrambles that outputs as text/punch-cards
2001,williams,williams.2001,Plays X-based missile command
2004,anonymous,anonymous.2004,Rendering of a stroked font
2004,arachnid,arachnid.2004,Curses maze navigator with only line-of-sight visibility
2004,burley,burley.2004,A Poker game
2004,gavare,gavare.2004,A ray tracer
